country,Plant,hour,value
BBcity,Onshore,0,0.0815
BBcity,Onshore,1,0.0851
BBcity,Onshore,2,0.0896
BBcity,Onshore,3,0.0924
BBcity,Onshore,4,0.082
BBcity,Onshore,5,0.0623
BBcity,Onshore,6,0.0639
BBcity,Onshore,7,0.0659
BBcity,Onshore,8,0.069
BBcity,Onshore,9,0.0724
BBcity,Onshore,10,0.0729
BBcity,Onshore,11,0.0728
BBcity,Onshore,12,0.0733
BBcity,Onshore,13,0.0733
BBcity,Onshore,14,0.0711
BBcity,Onshore,15,0.0653
BBcity,Onshore,16,0.0576
BBcity,Onshore,17,0.0471
BBcity,Onshore,18,0.0422
BBcity,Onshore,19,0.0446
BBcity,Onshore,20,0.0476
BBcity,Onshore,21,0.0519
BBcity,Onshore,22,0.0573
BBcity,Onshore,23,0.0617
BBcity,Solar PV,0,0
BBcity,Solar PV,1,0
BBcity,Solar PV,2,0
BBcity,Solar PV,3,0.002
BBcity,Solar PV,4,0.063
BBcity,Solar PV,5,0.167
BBcity,Solar PV,6,0.286
BBcity,Solar PV,7,0.407
BBcity,Solar PV,8,0.494
BBcity,Solar PV,9,0.554
BBcity,Solar PV,10,0.568
BBcity,Solar PV,11,0.427
BBcity,Solar PV,12,0.25
BBcity,Solar PV,13,0.145
BBcity,Solar PV,14,0.127
BBcity,Solar PV,15,0.122
BBcity,Solar PV,16,0.079
BBcity,Solar PV,17,0.05
BBcity,Solar PV,18,0.004
BBcity,Solar PV,19,0
BBcity,Solar PV,20,0
BBcity,Solar PV,21,0
BBcity,Solar PV,22,0
BBcity,Solar PV,23,0
BBcountry,Onshore,0,0.0815
BBcountry,Onshore,1,0.0851
BBcountry,Onshore,2,0.0896
BBcountry,Onshore,3,0.0924
BBcountry,Onshore,4,0.082
BBcountry,Onshore,5,0.0623
BBcountry,Onshore,6,0.0639
BBcountry,Onshore,7,0.0659
BBcountry,Onshore,8,0.069
BBcountry,Onshore,9,0.0724
BBcountry,Onshore,10,0.0729
BBcountry,Onshore,11,0.0728
BBcountry,Onshore,12,0.0733
BBcountry,Onshore,13,0.0733
BBcountry,Onshore,14,0.0711
BBcountry,Onshore,15,0.0653
BBcountry,Onshore,16,0.0576
BBcountry,Onshore,17,0.0471
BBcountry,Onshore,18,0.0422
BBcountry,Onshore,19,0.0446
BBcountry,Onshore,20,0.0476
BBcountry,Onshore,21,0.0519
BBcountry,Onshore,22,0.0573
BBcountry,Onshore,23,0.0617
BBcountry,Solar PV,0,0
BBcountry,Solar PV,1,0
BBcountry,Solar PV,2,0
BBcountry,Solar PV,3,0.002
BBcountry,Solar PV,4,0.063
BBcountry,Solar PV,5,0.167
BBcountry,Solar PV,6,0.286
BBcountry,Solar PV,7,0.407
BBcountry,Solar PV,8,0.494
BBcountry,Solar PV,9,0.554
BBcountry,Solar PV,10,0.568
BBcountry,Solar PV,11,0.427
BBcountry,Solar PV,12,0.25
BBcountry,Solar PV,13,0.145
BBcountry,Solar PV,14,0.127
BBcountry,Solar PV,15,0.122
BBcountry,Solar PV,16,0.079
BBcountry,Solar PV,17,0.05
BBcountry,Solar PV,18,0.004
BBcountry,Solar PV,19,0
BBcountry,Solar PV,20,0
BBcountry,Solar PV,21,0
BBcountry,Solar PV,22,0
BBcountry,Solar PV,23,0
BEcity,Onshore,0,0.0265
BEcity,Onshore,1,0.022
BEcity,Onshore,2,0.0169
BEcity,Onshore,3,0.0109
BEcity,Onshore,4,0.002
BEcity,Onshore,5,0
BEcity,Onshore,6,0
BEcity,Onshore,7,0.0004
BEcity,Onshore,8,0.0019
BEcity,Onshore,9,0.0008
BEcity,Onshore,10,0.0003
BEcity,Onshore,11,0.0025
BEcity,Onshore,12,0.0118
BEcity,Onshore,13,0.0206
BEcity,Onshore,14,0.0141
BEcity,Onshore,15,0.0053
BEcity,Onshore,16,0.0019
BEcity,Onshore,17,0.0014
BEcity,Onshore,18,0.0024
BEcity,Onshore,19,0.005
BEcity,Onshore,20,0.0063
BEcity,Onshore,21,0.0078
BEcity,Onshore,22,0.0122
BEcity,Onshore,23,0.0209
BEcity,Solar PV,0,0
BEcity,Solar PV,1,0
BEcity,Solar PV,2,0
BEcity,Solar PV,3,0.002
BEcity,Solar PV,4,0.063
BEcity,Solar PV,5,0.167
BEcity,Solar PV,6,0.286
BEcity,Solar PV,7,0.407
BEcity,Solar PV,8,0.494
BEcity,Solar PV,9,0.554
BEcity,Solar PV,10,0.568
BEcity,Solar PV,11,0.427
BEcity,Solar PV,12,0.25
BEcity,Solar PV,13,0.145
BEcity,Solar PV,14,0.127
BEcity,Solar PV,15,0.122
BEcity,Solar PV,16,0.079
BEcity,Solar PV,17,0.05
BEcity,Solar PV,18,0.004
